depth,temp,salinity,nitraite
9.4,6.874,32.09,5.05
0.1,5.567,27.14,15.6
11.5,6.485,32.23,4.99
0.1,5.695,30.92,6.03
4.3,5.899,31.31,5.09
0.1,5.847,31.27,5.22
9.4,5.689,31.09,4.54
0.1,4.177,27.42,9.36
5.4,4.874,31.83,1.69
0.1,4.892,31.83,1.42
5.9,5.699,32.23,3.76
0.1,5.718,32.24,3.94
11.7,6.292,32.35,4.08
0.1,6.29,32.36,4.28
8,6.449,32.29,3.97
0.1,6.408,32.3,4.185
5.7,6.19,32.11,4.37
0.1,5.703,31.49,5.34
9.7,6.8,31.93,5.05
0.1,5.649,28.8,10.6
11.4,6.711,32.16,4.31
0.1,5.823,29.96,7.9
4.5,6.599,31.94,4.46
0.1,6.035,31.45,4.87
10.5,5.668,31.25,4.55
0.1,5.625,29.63,14.2
6.3,5.781,32.14,3.44
0.1,5.767,32.14,4.35
6.6,6.18,32.37,0.0278
0.1,6.168,32.36,0.0343
12.5,6.515,32.5,0.025
0.1,6.614,32.51,4.47
8.4,6.528,32.35,4.09
0.1,6.484,32.31,4.19
9.5,6.902,32.44,4.2
0.1,6.368,32.01,4.89
8.8,8.083,32.17,7.46
0.1,8.229,31.13,9.58
10.5,7.616,32.38,6.55
0.1,7.422,31.12,8.31
4.1,7.489,32.16,6.68
0.1,7.14,31.88,6.88
8.8,7.218,31.87,6.97
0.1,6.534,30.65,8.13
5.9,6.778,32.25,6.78
0.1,5.864,31.93,6.27
6.2,6.414,32.19,6.23
0.1,6.389,32.19,6.555
11,7.48,32.51,6.53
0.1,7.491,32.51,6.77
9.1,7.362,32.47,6.36
0.1,7.306,32.44,6.42
8.1,7.539,32.41,6.72
0.1,7.094,32.11,6.93
7.89,11.997,31.02,5.82
0.1,12.217,23.95,13.5
9.93,11.997,31.31,5.23
0.1,12.174,29.17,7.935
2.51,11.774,30.39,5.8
0.1,11.735,29.93,5.98
6.92,11.732,30.22,6.07
0.1,11.006,24.72,11.2
3.81,11.719,31.39,4.95
0.1,11.436,31.16,5.02
2.79,11.364,31.15,4.72
0.1,11.242,31.05,4.88
11.04,12.016,31.73,4.79
0.1,11.736,31.31,5
5.79,11.987,31.29,5.15
0.1,11.936,31.1,5.22
6.63,11.761,29.95,6.49
0.1,11.78,29.79,6.97
9.68,13.083,30.98,4.9
0.2,13.115,25.56,13.1
12.09,13.042,31.11,4.55
0.23,12.442,23.69,13.6
5.15,12.986,30.8,4.69
0.18,12.467,29.77,5.78
10.58,12.892,30.38,5.06
0.17,12.229,27.88,6.4
6.15,12.648,30.71,4.81
0.19,12.332,30.42,5
6.43,12.66,30.82,4.46
0.15,12.652,30.79,5.045
13.68,13.149,31.66,3.66
0.15,12.941,31.5,4.31
9.13,13.22,31.69,4.17
0.16,12.933,31.15,4.49
7.94,12.99,31.23,4.04
0.16,12.688,30.41,5.41
3.67,15.232,29.95,4.53
0.1,15.33,28.31,16.1
7.7,15.084,30.69,3.61
0.1,15.23,29.24,12.2
3.33,15.189,29.5,4.33
0.1,15.403,28.45,4.97
3.9,15,30.68,4.37
0.1,15.193,28.58,8.85
7.93,14.952,31.07,2.47
0.1,15.068,30.72,2.825
3.14,15.043,30.9,2.09
0.1,15.023,30.86,2.33
2.84,15.084,30.86,2.14
0.1,15.088,30.86,2.82
6.1,14.521,31.69,3.4
0.1,14.927,31.17,3.62
4.98,15.281,31.51,3.54
0.1,15.271,31.51,4.2
2.82,15.191,31.16,1.55
0.1,15.2,31.15,10.4
3.55,15.193,31.23,0.0378
0.1,15.19,31.23,0.339
16.27,14.3,31.89,0.06
0.1,15.008,30.95,0.67
6.68,15.076,31.2,0.198
0.1,15.253,31.01,1.62
6.91,16.327,30.35,0.102
0.1,17.532,23.07,0.1145
9.91,16.812,30.67,0.221
0.1,17.006,24.66,0.0664
2.84,16.878,30.43,0.0578
0.1,17.244,28.96,0.0507
7.56,16.941,30.12,0.111
0.1,17.116,26.94,0.025
4.39,16.952,31.11,0.262
0.1,17.13,30.8,0.914
5.15,16.983,31.16,2.47
0.1,17.142,31.04,9.81
13.18,16.745,31.26,2.04
0.1,16.76,31.09,4.67
8.14,16.777,30.56,3.68
0.1,16.808,30.54,4.23
8.68,16.857,30.6,2.74
0.1,16.835,29.82,5.36
2.33,15.98,28.67,2.9
0.1,16.193,22.67,3.06
5.47,15.986,29.56,2.77
0.1,15.966,25.94,2.95
2.67,15.876,27.47,2.73
0.1,15.973,24.35,2.8
2.95,15.882,29.5,2.88
0.1,15.843,26.99,3.42
6.86,15.97,30.3,3.12
0.1,15.957,29.81,3.55
1.82,15.968,30.01,2.21
0.1,15.779,29.67,9.67
1.93,15.768,30.03,1.44
0.1,15.611,29.31,3.59
5.73,16.09,31.09,2.34
0.1,16.024,30.34,5.11
3.73,16.192,31.2,2.7
0.1,16.195,31.2,9.9
2.02,16.184,30.77,1.25
0.1,16.036,30.63,0.622
3.36,15.966,30.52,1.53
0.1,15.963,30.49,2.15
14.72,16.101,31.17,1.03
0.1,15.972,29.94,1.2
5.47,15.92,30.64,1.77
0.1,15.931,30.59,2.02
1.13,17.172,24.65,2.29
0.1,17.084,24.09,3.1
2.07,18.614,29.81,1.44
0.1,19.048,24.03,4.91
5.63,17.244,30.44,0.423
0.1,17.059,22.72,0.197
1.76,17.598,29.95,0.205
0.1,17.351,29.68,0.231
2.62,17.028,30.35,0.744
0.1,16.948,30.28,2.65
6.8,16.721,31.04,0.873
0.1,18.238,25.07,0.785
6.73,17.133,30.54,0.73
0.1,16.953,29.62,0.902
2.23,16.879,30.65,1.07
0.1,16.89,30.65,1.28
2.45,17.058,30.59,1.2
0.1,16.664,30.14,0.997
6.17,16.398,30.7,1.17
0.1,16.744,28.82,0.993
6.35,16.716,31.02,1.72
0.1,16.95,24.98,7.92
4.42,17.413,30.97,1.09
0.1,17.406,30.95,2.065
2.86,17.931,30.73,0.992
0.1,17.927,30.72,1.87
3.8,17.113,30.22,6.94
0.1,16.997,29.88,8.53
16.38,13.605,31.83,0.51
0.1,16.164,29.29,1.12
7.11,15.39,31.26,0.455
0.1,17.037,30.52,0.582
6.35,18.458,30.97,1.06
0.1,18.482,30.84,1.24
10.69,14.904,31.96,1.4
0.1,17.731,29.98,1.52
5.05,16.62,31.56,1.81
0.1,17.742,29.65,2.44
3.27,18.085,31.33,2.72
0.1,18.379,30.57,12.5
2,18.575,31.22,1.29
0.1,18.559,31.2,8.83
3.75,18.281,31.27,3.77
0.1,18.302,31.24,4.085
6.35,16.959,31.41,3.09
0.1,18.186,27.77,6.36
2.31,18.226,29.49,1.36
0.1,18.184,28.05,0.438
1.91,18.332,30.03,2.53
0.1,18.578,29.46,2.74
5.85,17.393,31.19,1.76
0.1,18.438,26.42,2.26
1.47,18.477,30.07,2.81
0.1,18.497,29.61,4.21
2.15,18.069,29.84,3.17
0.1,18.031,28.31,6.04
6.63,17.779,30.76,2.28
0.1,18.59,29.94,2.9
2.42,18.225,30.98,2.22
0.1,18.252,30.96,2.63
5.55,17.738,30.81,2.6
0.1,18.045,28.9,2.73
2.47,18.185,30.94,2.74
0.1,18.18,30.94,6
4.33,18.423,29.37,0.818
0.1,18.801,28.02,0.818
1.03,18.528,28.75,1.28
0.1,19.427,24.23,1.635
1.77,18.906,27.13,1.43
0.1,19.342,26.48,1.53
2.33,19.126,28.26,1.57
0.1,19.313,27.14,1.78
2.23,18.677,29.46,1.73
0.1,19.133,25.62,2.08
6.28,18.275,30.08,1.75
0.1,18.618,29.37,7.94
5.72,17.033,30.06,0.219
0.1,18.819,25.47,2.33
1.09,18.864,29.67,0.0878
0.1,18.908,29.69,0.3805
1.78,18.305,30.18,0.0585
0.1,18.685,29.9,5.33
0.1,18.777,25.15,0.212
4.44,17.694,30.86,0.385
0.1,18.431,28.58,0.948
3.44,18.085,31.17,1.05
0.1,18.123,31.18,0.79
1.59,19.006,30.87,0.85
0.1,19.187,30.8,0.58
2.51,18.997,30.8,0.105
0.1,19.03,30.8,0.11
15.04,17.622,31.11,0.328
0.1,18.309,28.91,0.713
5.39,18.389,30.51,1.94
0.1,18.72,30.51,0.616
9.97,16.563,31.09,0.551
0.1,18.642,23.65,0.442
11.92,17.245,31.25,0.608
0.1,17.477,30.66,0.463
4.33,17.323,30.88,1.39
0.1,17.598,30.53,0.384
7.97,17.553,30.29,0.703
0.1,18.159,26.06,0.426
5.32,17.715,31.42,0.546
0.1,17.737,31.42,0.587
5.59,17.645,31.58,0.443
0.1,17.674,31.56,0.727
10.44,17.346,31.67,0.989
0.1,17.339,31.67,0.787
8.04,17.122,31.48,1.23
0.1,17.14,31.5,1.71
6.06,17.221,31.26,11.3
0.1,17.298,29.84,0.4
4.17,17.556,29.82,2.67
0.1,18.162,28.8,0.111
4.37,17.189,29.89,0.206
0.1,17.784,29.46,1.23
4.56,17.204,30.12,2.96
0.1,17.832,27.91,0.025
2.96,17.638,28.89,0.54
0.1,17.771,28.14,0.025
6.89,17.353,29.72,0.478
0.1,18.101,26.67,0.025
3.5,17.546,28.59,0.638
0.1,18.629,25.8,0.025
8.17,17.186,30.37,0.33
0.1,17.538,29.23,0.025
6.71,16.854,30.95,2.07
0.1,17.071,30.63,1.77
5.37,17.384,31,3.35
0.1,17.403,30.99,1.53
3.55,18.511,30.69,1.67
0.1,18.995,30.54,1.48
4.39,17.361,30.42,1.68
0.1,17.318,30.22,1.84
11.85,16.965,31.06,2.53
0.1,17.111,30.43,0.316
7.06,17.013,30.74,0.269
0.1,17.43,30.66,0.681
10.28,15.768,30.87,0.705
0.1,20.213,24.05,0.955
15.13,15.622,30.98,1.12
0.1,19.269,26.48,1.05
12.07,15.6,30.99,1.18
0.1,19.28,20.52,1.17
9.1,15.867,31.01,1.56
0.1,18.952,24.43,2.38
17,15.361,31.2,4.73
0.1,18.749,24.56,2.64
11.24,15.417,31.31,3.7
0.1,18.928,26.01,2.45
10.94,16.074,31,1.53
0.1,19.214,25.42,2.03
15.18,15.511,31.25,3.07
0.1,19.161,22.82,0.337
12.21,15.438,31.27,0.123
0.1,19.194,20.8,0.97
9.44,15.616,31.21,0.769
0.1,18.868,25,2.12
17.24,15.194,31.46,1.09
0.1,18.599,29.16,2.41
12.2,15.655,31.43,1.985
0.1,17.655,29.92,2.36
1.74,18.22,29.78,2.32
0.1,19.438,25.64,0.63
6.9,16.193,30.65,9.46
0.1,18.56,23.31,0.479
5.86,16.121,30.69,8.79
0.1,19.01,24.07,0.211
7.36,19.295,29.75,1.59
0.1,19.937,21.81,0.397
13.63,19.145,30.01,5.48
0.1,20.324,17.98,0.226
10.29,19.117,30.06,0.806
0.1,20.392,11.75,0.18
8.14,19.106,30.06,0.458
0.1,20.119,21.11,0.804
15.38,18.888,30.34,1.02
0.1,19.618,28.49,0.838
9.18,18.823,23.13,0.538
0.1,19.251,28.81,0.578
9.81,19.088,30.4,0.533
0.1,20.22,23.65,7.34
11.93,19.07,30.54,27.6
0.1,19.472,28.28,7.89
4.53,19.374,29.73,9.34
0.1,19.643,28.67,9.96
9.57,19.57,29.16,10.5
0.1,19.948,23.76,8.24
5.52,19.911,29.77,18.6
0.1,19.939,29.75,1.12
4.76,20.111,29.31,1.22
0.1,20.183,29.2,0.553
13.15,19.627,30.08,0.618
0.1,19.607,30.09,3.9
6.89,19.123,30.15,3.52
0.1,19.079,29.64,6.89
8.25,18.652,30.39,7.63
0.1,19.474,27.93,6.96
1.1,21.853,28.97,7.36
0.1,21.812,28.71,5.18
5.15,21.134,30.15,4.51
0.1,22.403,26.7,3.64
1.83,21.554,29.73,3.69
0.1,22.331,28.79,4.38
2.42,21.06,30.22,4.17
0.1,22.024,29.24,5.86
6.64,20.565,30.64,22.8
0.1,22.063,26.88,5.62
2.52,21.148,30.29,6
0.1,21.593,30.02,6.22
2.29,21.367,30.17,14.1
0.1,21.635,30.01,5.62
2.11,21.702,29.6,11
0.1,22.404,28.46,6.31
5.96,20.377,30.64,6.15
0.1,21.229,28.18,6.24
7.64,20.617,30.41,5.79
0.1,22.117,25.1,4.6
4.67,21.536,30.71,6.42
0.1,21.675,30.59,4.49
2.88,21.909,30.63,5.31
0.1,22.173,30.58,5.27
6.49,20.636,30.44,5.5
0.1,22.405,27.8,7.09
4.01,21.225,30.7,22.1
0.1,21.833,29.63,4.14
16.35,17.57,31.51,4.385
0.1,21.185,28.11,4.03
7.13,20.942,30.31,4.25
0.1,21.911,29.74,4.48
1.94,21.658,28.55,4.74
0.1,21.926,25.53,4.71
6.9,20.531,30.22,5.03
0.1,22.212,26.65,5.63
5.79,20.577,30.25,6.95
0.1,21.772,25.83,6.65
7.89,19.62,30.3,14.8
0.1,21.869,24.98,6.03
9.94,20.059,30.49,9.75
0.1,21.607,27.77,6.73
2.57,20.707,30.08,7.53
0.1,21.612,28.37,7.22
8.51,20.989,29.58,12.65
0.1,22.063,24.89,6.68
3.54,21.03,30.72,6.88
0.1,22.026,30.34,5.82
4.16,21.793,30.6,6.22
0.1,22.022,30.17,5.33
10.96,20.646,30.89,6.27
0.1,21.072,30.71,5.48
4.25,20.792,29.84,6.04
0.1,20.935,29.69,5.59
4.56,21.431,29.28,7.69
0.1,21.588,28.48,9.26
2.77,21.046,30.03,17.2
0.1,21.695,29.3,9.01
7.25,20.9,30.31,12.4
0.1,21.654,29.46,11.5
3.15,21.13,29.95,14.4
0.1,22.319,28.43,11.5
3.75,20.767,30.41,26.5
0.1,21.987,28.64,8.06
7.6,20.564,30.64,8.11
0.1,21.241,29.7,7.53
3.63,21.295,30.4,7.78
0.1,21.685,30.37,7.74
3.31,21.281,30.4,8.24
0.1,21.673,30.24,9.43
6.82,19.097,31.14,9.725
0.1,20.168,30.84,11.2
5.63,20.123,31.01,11.5
0.1,21.595,30.67,8.79
4.06,21.559,30.76,13.4
0.1,21.774,30.74,8.08
3.08,20.953,30.09,11.9
0.1,21.081,29.59,8.22
5.4,20.965,30.61,9.23
0.1,21.282,30.58,9.32
8.02,19.877,30.58,14.3
0.1,20.963,29.82,7.82
16.22,17.478,31.35,7.94
0.1,19.831,30.94,7.66
8.27,20.932,30.71,7.65
0.1,21.283,30.64,6.62
4.45,20.053,30.43,6.59
0.1,20.802,29.6,7.14
0.8,22.014,28.89,7.19
0.1,22.223,28.66,7.63
4.89,22.115,28.73,7.975
0.1,22.167,27.91,7.39
1.81,22.189,28.44,17.4
0.1,22.528,27.89,7.54
2.43,20.946,30.37,18.7
0.1,21.656,29.73,7.43
2.47,21.051,29.94,7.75
0.1,21.591,28.38,6.93
6.42,20.381,30.74,8.505
0.1,21.598,29,6.28
2.92,21.346,30.33,6.31
0.1,22.13,30.28,6.21
2.19,21.46,30.29,6.19
0.1,21.688,30.19,6.39
8.14,19.733,30.51,6.51
0.1,21.585,29.42,7.04
5.79,19.884,31.13,7.17
0.1,20.477,30.81,7.21
4.9,21.116,30.89,8.24
0.1,21.241,30.85,5.59
3.2,22.543,30.77,6.4
0.1,22.718,30.76,5.2
6.79,19.738,30.59,5.37
0.1,21.271,28.92,5.31
4.38,20.47,30.76,5.36
0.1,21.475,30.61,5.4
17.47,19.153,31.24,6
0.1,20.353,30.99,4.82
7.39,20.64,30.9,4.71
0.1,21.105,30.77,4.61
7.02,19.311,30.08,4.675
0.1,20.78,27.28,5.04
14.36,19.183,30.8,5.1
0.1,20.44,27.62,5.1
11.47,19.074,30.77,5.17
0.1,20.82,26.74,5.21
8.66,19.584,30.65,5.76
0.1,20.543,28.77,4.95
16.54,18.514,31.03,6.23
0.1,20.551,29.19,4.87
11.3,19.468,31,5.89
0.1,20.62,28.73,5.13
1.1,20.351,28.69,6.41
0.1,20.427,28.54,6.49
2.03,20.685,29.33,9.77
0.1,21.11,28.78,3.87
7.16,18.853,30.28,3.77
0.1,21.241,28.7,4.29
9.09,18.03,30.52,4.25
0.1,20.536,25.12,4.56
11.5,18.754,30.61,4.58